,Image,F1,Jaccard,Recall,Precision
3442,.\files\images\heart28-slice442_saggital.png,0.994521484375,0.9891026699429881,0.994521484375,0.994521484375
3443,.\files\images\heart28-slice443_saggital.png,0.99470703125,0.9894697985273261,0.99470703125,0.99470703125
3444,.\files\images\heart28-slice444_saggital.png,0.9950227864583333,0.9900948728496514,0.9950227864583333,0.9950227864583333
3445,.\files\images\heart28-slice445_saggital.png,0.9951953125,0.9904365742720522,0.9951953125,0.9951953125
3446,.\files\images\heart28-slice446_saggital.png,0.9947493489583333,0.9895535485876567,0.9947493489583333,0.9947493489583333
3447,.\files\images\heart28-slice447_saggital.png,0.9954036458333333,0.9908493512889972,0.9954036458333333,0.9954036458333333
3448,.\files\images\heart28-slice448_saggital.png,0.9959244791666667,0.9918820432352522,0.9959244791666667,0.9959244791666667
3449,.\files\images\heart28-slice449_saggital.png,0.996220703125,0.9924698648661796,0.996220703125,0.996220703125
3450,.\files\images\heart28-slice450_saggital.png,0.9965690104166667,0.9931614837114847,0.9965690104166667,0.9965690104166667
3451,.\files\images\heart28-slice451_saggital.png,0.996435546875,0.992896414148786,0.996435546875,0.996435546875
3452,.\files\images\heart28-slice452_saggital.png,0.99705078125,0.9941189071293646,0.99705078125,0.99705078125
3453,.\files\images\heart28-slice453_saggital.png,0.998095703125,0.9961986451581462,0.998095703125,0.998095703125
3454,.\files\images\heart28-slice454_saggital.png,0.9989713541666667,0.9979448223832256,0.9989713541666667,0.9989713541666667
3455,.\files\images\heart28-slice455_saggital.png,0.99939453125,0.9987897952411626,0.99939453125,0.99939453125
3456,.\files\images\heart28-slice456_saggital.png,0.999716796875,0.9994337541126048,0.999716796875,0.999716796875
3457,.\files\images\heart28-slice457_saggital.png,1.0,1.0,1.0,1.0
3458,.\files\images\heart28-slice458_saggital.png,1.0,1.0,1.0,1.0
3459,.\files\images\heart28-slice459_saggital.png,1.0,1.0,1.0,1.0
3460,.\files\images\heart28-slice460_saggital.png,1.0,1.0,1.0,1.0
3461,.\files\images\heart28-slice461_saggital.png,1.0,1.0,1.0,1.0
3462,.\files\images\heart28-slice462_saggital.png,1.0,1.0,1.0,1.0
3463,.\files\images\heart28-slice463_saggital.png,1.0,1.0,1.0,1.0
3464,.\files\images\heart28-slice464_saggital.png,1.0,1.0,1.0,1.0
3465,.\files\images\heart28-slice465_saggital.png,1.0,1.0,1.0,1.0
3466,.\files\images\heart28-slice466_saggital.png,1.0,1.0,1.0,1.0
3467,.\files\images\heart28-slice467_saggital.png,1.0,1.0,1.0,1.0
3468,.\files\images\heart28-slice468_saggital.png,1.0,1.0,1.0,1.0
3469,.\files\images\heart28-slice469_saggital.png,1.0,1.0,1.0,1.0
3470,.\files\images\heart28-slice470_saggital.png,1.0,1.0,1.0,1.0
3471,.\files\images\heart28-slice471_saggital.png,1.0,1.0,1.0,1.0
3472,.\files\images\heart28-slice472_saggital.png,1.0,1.0,1.0,1.0
3473,.\files\images\heart28-slice473_saggital.png,1.0,1.0,1.0,1.0
3474,.\files\images\heart28-slice474_saggital.png,1.0,1.0,1.0,1.0
3475,.\files\images\heart28-slice475_saggital.png,1.0,1.0,1.0,1.0
3476,.\files\images\heart28-slice476_saggital.png,1.0,1.0,1.0,1.0
3477,.\files\images\heart28-slice477_saggital.png,1.0,1.0,1.0,1.0
3478,.\files\images\heart28-slice478_saggital.png,0.9995052083333333,0.9990109060621047,0.9995052083333333,0.9995052083333333
3479,.\files\images\heart28-slice479_saggital.png,0.9996516927083333,0.9993036279681231,0.9996516927083333,0.9996516927083333
3480,.\files\images\heart28-slice480_saggital.png,1.0,1.0,1.0,1.0
3481,.\files\images\heart28-slice481_saggital.png,1.0,1.0,1.0,1.0
3482,.\files\images\heart28-slice482_saggital.png,1.0,1.0,1.0,1.0
3483,.\files\images\heart28-slice483_saggital.png,1.0,1.0,1.0,1.0
3484,.\files\images\heart28-slice484_saggital.png,1.0,1.0,1.0,1.0
3485,.\files\images\heart28-slice485_saggital.png,1.0,1.0,1.0,1.0
3486,.\files\images\heart28-slice486_saggital.png,0.9999739583333334,0.9999479180229681,0.9999739583333334,0.9999739583333334
3487,.\files\images\heart28-slice487_saggital.png,0.9999576822916667,0.9999153681647587,0.9999576822916667,0.9999576822916667
